city_std,city_clean,n_extreme_events,total_reports,total_affected_grids,baseline_value,baseline_total,stress_value,stress_total,mean_peak_rain,max_peak_rain,mean_tail_weight,max_tail_weight,metric,metric_label,unit,value_scale,baseline_ratio,stress_ratio,baseline_value_plot,stress_value_plot,gdp_per_capita,region,gdp_missing,city_label,baseline_rank_value,stress_rank_value,baseline_rank_ratio,stress_rank_ratio,emerging_value_flag,emerging_ratio_flag
九江,九江市,3,38.0,26,20.0,26.0,36.515152790842905,46.954161424056736,84.7841313680013,89.90491485595705,1.624505429421145,1.8551641149834652,uncovered_impact_space,Uncovered impact space,km^2,1.0,76.92307692307693,77.76766038065061,20.0,36.515152790842905,70445.0,华东,False,Jiujiang,95.0,70.0,110.0,109.0,False,False
伊春,伊春市,1,11.0,4,4.0,4.0,4.0,4.0,56.28245544433594,56.28245544433594,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,4.0,4.0,33930.0,东北,False,Yichun,162.0,164.0,23.0,24.0,False,False
佛山,佛山市,3,328.0,130,103.0,130.0,103.65735713281504,131.53383330990175,57.5484364827474,75.78427124023438,1.0730396814238927,1.219119044271678,uncovered_impact_space,Uncovered impact space,km^2,1.0,79.23076923076923,78.80661159520224,103.0,103.65735713281504,113618.0,华南,False,Foshan,26.0,27.0,100.0,104.0,False,False
保定,保定市,3,55.0,31,21.0,31.0,21.0,31.0,67.2603530883789,68.80370330810547,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,67.74193548387096,67.74193548387096,21.0,21.0,29033.0,华北,False,Baoding,91.0,103.0,147.0,148.0,False,False
信阳,信阳市,2,24.0,14,13.0,14.0,18.335931324132318,19.56952445654555,86.65858840942383,97.2115707397461,1.616796566206616,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,92.85714285714286,93.6963561115016,13.0,18.335931324132318,44962.0,华中,False,Xinyang,121.0,111.0,49.0,46.0,False,False
儋州,儋州市,1,8.0,5,5.0,5.0,8.666251078176604,8.666251078176604,87.1983413696289,87.1983413696289,1.733250215635321,1.733250215635321,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,5.0,8.666251078176604,40842.0,华南,False,Danzhou,159.0,148.0,21.0,18.0,False,False
六安,六安市,3,188.0,68,65.0,68.0,65.0,68.0,58.96197001139323,67.09221649169922,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,95.58823529411765,95.58823529411765,65.0,65.0,38028.0,华东,False,Luan,38.0,42.0,39.0,41.0,False,False
兰州,兰州市,2,543.0,72,64.0,72.0,64.0,72.0,23.5462007522583,24.49703025817871,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,88.88888888888889,88.88888888888889,64.0,64.0,66058.0,西北,False,Lanzhou,40.0,44.0,61.0,62.0,False,False
北京,北京,6,2572.0,805,658.0,805.0,692.2374418006291,848.7155547510959,62.35361289978027,74.80223083496094,1.0448108909420173,1.1748843779198914,uncovered_impact_space,Uncovered impact space,km^2,1.0,81.73913043478261,81.56294979224725,658.0,692.2374418006291,164927.0,华北,False,Beijing,2.0,2.0,92.0,92.0,False,False
北海,北海市,3,45.0,28,14.0,28.0,23.64475885460538,43.560565938289685,80.8943099975586,100.46524047851562,1.5763172569736923,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,50.0,54.28019206201742,14.0,23.64475885460538,69022.0,华南,False,Beihai,119.0,92.0,175.0,173.0,False,False
南京,南京市,6,294.0,152,104.0,152.0,110.32085917208477,162.53476528680795,59.54927062988281,82.61363220214844,1.0877897107233996,1.5267382643403973,uncovered_impact_space,Uncovered impact space,km^2,1.0,68.42105263157895,67.87523824666876,104.0,110.32085917208477,158991.0,华东,False,Nanjing,25.0,24.0,145.0,146.0,False,False
南充,南充市,1,22.0,12,11.0,12.0,11.0,12.0,51.04774856567384,51.04774856567384,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,91.66666666666666,91.66666666666666,11.0,11.0,42800.0,西南,False,Nanchong,133.0,135.0,52.0,53.0,False,False
南宁,南宁市,6,281.0,127,94.0,127.0,122.77999033777809,166.8284471401098,78.3320738474528,113.52899169921876,1.298562774275144,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,74.01574803149606,73.59655528931592,94.0,122.77999033777809,54015.0,华南,False,Nanning,27.0,22.0,123.0,129.0,False,False
南平,南平市,1,22.0,9,9.0,9.0,9.0,9.0,69.65949249267578,69.65949249267578,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,9.0,9.0,74902.0,华东,False,Nanping,142.0,142.0,15.0,15.0,False,False
南昌,南昌市,6,748.0,282,149.0,282.0,240.05555593739516,426.94077567613647,72.98107210795085,94.73480224609376,1.3825298171954765,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,52.836879432624116,56.226898346081974,149.0,240.05555593739516,91781.0,华东,False,Nanchang,15.0,11.0,173.0,172.0,False,False
南通,南通市,1,14.0,10,10.0,10.0,12.861745068893846,12.861745068893846,77.27294921875,77.27294921875,1.2861745068893846,1.2861745068893846,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,10.0,12.861745068893846,129835.0,华东,False,Nantong,137.0,130.0,12.0,8.0,False,True
南阳,南阳市,3,172.0,52,43.0,52.0,43.0,52.0,49.92011260986328,70.75160217285156,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,82.6923076923077,82.6923076923077,43.0,43.0,40389.0,华中,False,Nanyang,56.0,63.0,90.0,89.0,False,False
厦门,厦门市,7,368.0,112,51.0,112.0,52.623091246379545,116.05772811594886,48.129429408482146,88.93655395507812,1.1159350890271102,1.8115456231897722,uncovered_impact_space,Uncovered impact space,km^2,1.0,45.535714285714285,45.34216902282097,51.0,52.623091246379545,123243.0,华东,False,Xiamen,50.0,54.0,177.0,177.0,False,False
台州,台州市,1,217.0,108,107.0,108.0,214.0,216.0,113.9600067138672,113.9600067138672,2.0,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,99.07407407407408,99.07407407407408,107.0,214.0,79377.0,华东,False,Taizhou,22.0,13.0,33.0,33.0,False,False
合肥,合肥市,3,240.0,79,56.0,79.0,56.0,79.0,66.79465993245442,68.9690933227539,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,70.88607594936708,70.88607594936708,56.0,56.0,107211.0,华东,False,Hefei,47.0,51.0,137.0,139.0,False,False
吉安,吉安市,1,26.0,15,15.0,15.0,15.0,15.0,51.74658203125,51.74658203125,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,15.0,15.0,48535.0,华东,False,Jian,112.0,121.0,3.0,5.0,False,False
吉林,吉林市,2,47.0,23,20.0,23.0,20.0,23.0,37.55934143066406,40.41184997558594,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,86.95652173913044,86.95652173913044,20.0,20.0,20079.0,东北,False,Jilin,94.0,106.0,72.0,72.0,False,False
周口,周口市,1,19.0,16,14.0,16.0,26.565453425949432,30.360518201085064,90.84552001953124,90.84552001953124,1.8975323875678165,1.8975323875678165,uncovered_impact_space,Uncovered impact space,km^2,1.0,87.5,87.5,14.0,26.565453425949432,36221.0,华中,False,Zhoukou,117.0,85.0,68.0,67.0,False,False
呼伦贝尔,呼伦贝尔市,1,1.0,1,1.0,1.0,1.0,1.0,53.30622100830078,53.30622100830078,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,1.0,1.0,52330.0,华北,False,Hulunbeier,175.0,176.0,30.0,31.0,False,False
呼和浩特,呼和浩特市,3,104.0,72,64.0,72.0,64.0,72.0,45.678393046061196,49.11623764038086,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,88.88888888888889,88.88888888888889,64.0,64.0,81179.0,华北,False,Huhehaote,41.0,45.0,62.0,63.0,False,False
咸宁,咸宁市,2,83.0,33,26.0,33.0,26.29182291686176,33.3793697919203,51.923038482666016,71.56754302978516,1.014591145843088,1.0291822916861764,uncovered_impact_space,Uncovered impact space,km^2,1.0,78.78787878787878,78.76668457421229,26.0,26.29182291686176,56890.0,华中,False,Xianning,76.0,86.0,105.0,105.0,False,False
咸阳,咸阳市,2,31.0,19,16.0,19.0,16.0,19.0,40.37395095825195,47.83387756347656,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,84.21052631578947,84.21052631578947,16.0,16.0,55677.0,西北,False,Xianyang,108.0,117.0,83.0,82.0,False,False
哈尔滨,哈尔滨市,2,53.0,43,36.0,43.0,46.0,55.0,82.74348831176758,98.58970642089844,1.5,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,83.72093023255815,83.63636363636363,36.0,46.0,51786.0,东北,False,Haerbin,62.0,61.0,87.0,85.0,False,False
唐山,唐山市,2,27.0,27,23.0,27.0,45.198921852604926,53.198921852604926,92.31704330444336,93.4897689819336,1.9554956584780514,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,85.18518518518519,84.96210125805722,23.0,45.198921852604926,93405.0,华北,False,Tangshan,82.0,62.0,79.0,78.0,False,False
商丘,商丘市,4,330.0,101,65.0,101.0,65.88275175859758,102.86358704592823,62.73172378540039,73.09719848632812,1.0245208821832663,1.098083528733065,uncovered_impact_space,Uncovered impact space,km^2,1.0,64.35643564356435,64.04866255459393,65.0,65.88275175859758,37408.0,华中,False,Shangqiu,39.0,41.0,160.0,161.0,False,False
嘉兴,嘉兴市,2,16.0,11,11.0,11.0,11.0,11.0,57.63397789001465,59.53095626831056,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,11.0,11.0,101839.0,华东,False,Jiaxing,128.0,131.0,7.0,9.0,False,False
大庆,大庆市,1,12.0,10,10.0,10.0,10.0,10.0,51.94760894775391,51.94760894775391,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,10.0,10.0,82773.0,东北,False,Daqing,138.0,139.0,13.0,13.0,False,False
大连,大连市,3,597.0,235,168.0,235.0,253.2159505392936,336.68626030739233,69.01069895426433,86.8176040649414,1.2387001415666488,1.7161004246999463,uncovered_impact_space,Uncovered impact space,km^2,1.0,71.48936170212767,75.20828153430114,168.0,253.2159505392936,94368.0,东北,False,Dalian,13.0,10.0,134.0,120.0,True,False
天津,天津,5,1087.0,411,308.0,411.0,510.44543162581044,682.1625990840821,78.76815490722656,93.4897689819336,1.4628955661102894,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,74.93917274939173,74.8275311943471,308.0,510.44543162581044,101541.0,华北,False,Tianjin,4.0,3.0,120.0,123.0,False,False
太原,太原市,4,631.0,237,171.0,237.0,171.0,237.0,32.626954078674316,44.09000015258789,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,72.15189873417721,72.15189873417721,171.0,171.0,78069.0,华北,False,Taiyuan,12.0,15.0,131.0,132.0,False,False
威海,威海市,1,32.0,20,19.0,20.0,19.0,20.0,61.84230041503906,61.84230041503906,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,95.0,95.0,19.0,19.0,103704.0,华东,False,Weihai,96.0,107.0,41.0,43.0,False,False
孝感,孝感市,2,99.0,34,21.0,34.0,22.915728798930076,38.150745731015164,68.45417594909668,78.00809478759766,1.1596440665775063,1.3192881331550126,uncovered_impact_space,Uncovered impact space,km^2,1.0,61.76470588235294,60.06626701480287,21.0,22.915728798930076,52984.0,华中,False,Xiaogan,92.0,93.0,166.0,167.0,False,False
宁德,宁德市,2,30.0,13,10.0,13.0,10.0,13.0,47.431650161743164,55.36602783203125,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,76.92307692307693,76.92307692307693,10.0,10.0,83142.0,华东,False,Ningde,140.0,141.0,111.0,111.0,False,False
宁波,宁波市,5,872.0,358,240.0,358.0,320.83900628604573,474.1352619310621,67.78364334106445,84.60758972167967,1.2090412224215918,1.616553352520543,uncovered_impact_space,Uncovered impact space,km^2,1.0,67.0391061452514,67.66824407434493,240.0,320.83900628604573,131726.0,华东,False,Ningbo,9.0,6.0,150.0,149.0,False,False
安庆,安庆市,2,104.0,42,31.0,42.0,36.67462256387243,49.915975818602334,75.10396575927734,78.83638000488281,1.188475614728627,1.3565971074436256,uncovered_impact_space,Uncovered impact space,km^2,1.0,73.80952380952381,73.47271482210469,31.0,36.67462256387243,59176.0,华东,False,Anqing,69.0,69.0,126.0,130.0,False,False
安阳,安阳市,2,343.0,158,129.0,158.0,129.0,158.0,48.63548278808594,64.88201904296875,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,81.64556962025317,81.64556962025317,129.0,129.0,41979.0,华中,False,Anyang,18.0,21.0,93.0,91.0,False,False
安顺,安顺市,1,1.0,1,1.0,1.0,1.0,1.0,70.3630142211914,70.3630142211914,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,1.0,1.0,39139.0,西南,False,Anshun,176.0,177.0,31.0,32.0,False,False
宜宾,宜宾市,2,82.0,15,14.0,15.0,14.0,15.0,51.94028854370117,56.21794891357422,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,93.33333333333333,93.33333333333333,14.0,14.0,61048.0,西南,False,Yibin,116.0,124.0,48.0,49.0,False,False
宜昌,宜昌市,2,240.0,51,40.0,51.0,54.61046186733469,69.47793706751152,62.96310234069824,80.45974731445312,1.2148597333431572,1.4297194666863144,uncovered_impact_space,Uncovered impact space,km^2,1.0,78.43137254901961,78.60115624082196,40.0,54.61046186733469,106802.0,华中,False,Yichang,58.0,53.0,107.0,106.0,False,False
宜春,宜春市,1,46.0,4,3.0,4.0,4.220588790702271,5.627451720936361,79.95231628417967,79.95231628417967,1.4068629302340903,1.4068629302340903,uncovered_impact_space,Uncovered impact space,km^2,1.0,75.0,75.0,3.0,4.220588790702271,55686.0,华东,False,Yichun,170.0,163.0,119.0,122.0,False,False
宝鸡,宝鸡市,3,40.0,26,18.0,26.0,18.0,26.0,44.44083023071289,54.84000015258789,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,69.23076923076923,69.23076923076923,18.0,18.0,68582.0,西北,False,Baoji,105.0,113.0,143.0,142.0,False,False
宣城,宣城市,2,18.0,8,7.0,8.0,7.0,8.0,60.74458312988281,61.32528305053711,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,87.5,87.5,7.0,7.0,64300.0,华东,False,Xuancheng,150.0,155.0,70.0,69.0,False,False
岳阳,岳阳市,2,79.0,31,23.0,31.0,43.0,55.0,81.15538597106934,103.49646759033205,1.5,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,74.19354838709677,78.18181818181819,23.0,43.0,79238.0,华中,False,Yueyang,83.0,64.0,122.0,107.0,False,False
崇左,崇左市,1,10.0,4,4.0,4.0,4.3654080084203875,4.3654080084203875,72.94775390625,72.94775390625,1.0913520021050969,1.0913520021050969,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,4.0,4.3654080084203875,38708.0,华南,False,Chongzuo,163.0,162.0,24.0,23.0,False,False
巴中,巴中市,1,10.0,4,4.0,4.0,4.0,4.0,64.32393646240234,64.32393646240234,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,4.0,4.0,28302.0,西南,False,Bazhong,164.0,165.0,25.0,25.0,False,False
常州,常州市,2,33.0,25,24.0,25.0,24.0,25.0,58.64192008972168,65.37018585205078,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,96.0,96.0,24.0,24.0,147828.0,华东,False,Changzhou,78.0,89.0,36.0,36.0,False,False
平顶山,平顶山市,2,18.0,11,11.0,11.0,11.0,11.0,50.464420318603516,53.93280029296874,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,11.0,11.0,49215.0,华中,False,Pingdingshan,129.0,132.0,8.0,10.0,False,False
广元,广元市,2,12.0,5,4.0,5.0,4.0,5.0,53.69725036621094,54.42211532592773,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,80.0,80.0,4.0,4.0,43636.0,西南,False,Guangyuan,168.0,169.0,99.0,100.0,False,False
广安,广安市,2,18.0,6,6.0,6.0,9.0,9.0,79.96369934082031,93.12347412109376,1.5,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,6.0,9.0,40048.0,西南,False,Guangan,153.0,143.0,17.0,16.0,False,False
广州,广州市,6,917.0,362,284.0,362.0,356.69015626262393,448.5359003126475,65.2979081471761,90.1312484741211,1.1442265005210792,1.8653590031264755,uncovered_impact_space,Uncovered impact space,km^2,1.0,78.45303867403315,79.52321230340684,284.0,356.69015626262393,133506.0,华南,False,Guangzhou,5.0,5.0,106.0,101.0,False,False
庆阳,庆阳市,1,3.0,3,2.0,3.0,2.0,3.0,50.959999084472656,50.959999084472656,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,66.66666666666666,66.66666666666666,2.0,2.0,34620.0,西北,False,Qingyang,171.0,171.0,153.0,152.0,False,False
廊坊,廊坊市,2,160.0,48,38.0,48.0,38.0,48.0,68.9351921081543,70.259033203125,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,79.16666666666666,79.16666666666666,38.0,38.0,60129.0,华北,False,Langfang,59.0,67.0,103.0,103.0,False,False
延安,延安市,1,4.0,4,4.0,4.0,4.0,4.0,55.77000045776368,55.77000045776368,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,4.0,4.0,70240.0,西北,False,Yanan,165.0,166.0,26.0,26.0,False,False
开封,开封市,2,181.0,34,23.0,34.0,32.30577669318532,47.61328764454544,82.93410110473633,86.25491333007812,1.5411733475670917,1.6907547904650815,uncovered_impact_space,Uncovered impact space,km^2,1.0,67.64705882352942,67.85033819626665,23.0,32.30577669318532,49106.0,华中,False,Kaifeng,84.0,75.0,148.0,147.0,False,False
张家界,张家界市,1,8.0,5,5.0,5.0,5.0,5.0,63.89422225952149,63.89422225952149,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,5.0,5.0,36623.0,华中,False,Zhangjiajie,160.0,160.0,22.0,22.0,False,False
徐州,徐州市,2,36.0,27,22.0,27.0,22.0,27.0,49.87173271179199,54.0761833190918,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,81.48148148148148,81.48148148148148,22.0,22.0,80614.0,华东,False,Xuzhou,87.0,99.0,94.0,93.0,False,False
德州,德州市,2,28.0,17,13.0,17.0,13.0,17.0,54.99170112609863,62.88340377807618,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,76.47058823529412,76.47058823529412,13.0,13.0,54883.0,华东,False,Dezhou,123.0,127.0,112.0,113.0,False,False
德阳,德阳市,3,303.0,94,71.0,94.0,71.0,94.0,58.2171262105306,61.682899475097656,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,75.53191489361703,75.53191489361703,71.0,71.0,69483.0,西南,False,Deyang,34.0,36.0,116.0,118.0,False,False
怀化,怀化市,2,27.0,22,21.0,22.0,21.0,22.0,52.20021057128906,62.18960571289063,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,95.45454545454545,95.45454545454545,21.0,21.0,36503.0,华中,False,Huaihua,88.0,101.0,40.0,42.0,False,False
恩施土家族苗族,恩施土家族苗族自治州,1,214.0,14,14.0,14.0,14.0,14.0,51.69566345214844,51.69566345214844,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,100.0,100.0,14.0,14.0,63609.0,,True,Enshitujiazu,115.0,123.0,4.0,6.0,False,False
惠州,惠州市,3,210.0,91,75.0,91.0,97.97153096558952,120.70805407160279,81.8773676554362,102.26459503173828,1.3947102588344384,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,82.41758241758241,81.16403807443852,75.0,97.97153096558952,69666.0,华南,False,Huizhou,30.0,29.0,91.0,94.0,False,False
成都,成都市,5,2813.0,665,503.0,665.0,503.0,665.0,61.929589080810544,67.71067810058594,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,75.63909774436091,75.63909774436091,503.0,503.0,84566.0,西南,False,Chengdu,3.0,4.0,114.0,115.0,False,False
扬州,扬州市,2,35.0,17,13.0,17.0,13.0,17.0,53.600589752197266,56.54750061035156,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,76.47058823529412,76.47058823529412,13.0,13.0,132638.0,华东,False,Yangzhou,124.0,128.0,113.0,114.0,False,False
抚州,抚州市,1,15.0,8,6.0,8.0,6.0,8.0,53.88334274291992,53.88334274291992,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,75.0,75.0,6.0,6.0,43439.0,华东,False,Fuzhou,157.0,159.0,118.0,121.0,False,False
揭阳,揭阳市,1,16.0,16,15.0,16.0,17.952252365441893,19.149069189804685,75.28914642333984,75.28914642333984,1.1968168243627928,1.1968168243627928,uncovered_impact_space,Uncovered impact space,km^2,1.0,93.75,93.75000000000001,15.0,17.952252365441893,37672.0,华南,False,Jieyang,113.0,114.0,45.0,45.0,False,False
新乡,新乡市,3,2519.0,304,254.0,304.0,295.4361817734879,358.7799761963486,76.96704228719075,97.36841583251952,1.3792900867227604,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,83.55263157894737,82.34466842480786,254.0,295.4361817734879,48154.0,华中,False,Xinxiang,8.0,7.0,89.0,90.0,False,False
无锡,无锡市,3,116.0,55,47.0,55.0,51.82460941732604,60.32370694325632,61.2757199605306,74.61311340332033,1.0554552806589201,1.16636584197676,uncovered_impact_space,Uncovered impact space,km^2,1.0,85.45454545454545,85.91085005116648,47.0,51.82460941732604,165824.0,华东,False,Wuxi,52.0,55.0,78.0,76.0,False,False
昆明,昆明市,7,2929.0,441,274.0,441.0,274.0,441.0,35.88743509565081,53.49245834350586,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,62.131519274376416,62.131519274376416,274.0,274.0,79595.0,西南,False,Kunming,6.0,8.0,165.0,164.0,False,False
晋城,晋城市,1,24.0,13,12.0,13.0,14.208925994686325,15.393003160910187,75.00631713867188,75.00631713867188,1.1840771662238605,1.1840771662238605,uncovered_impact_space,Uncovered impact space,km^2,1.0,92.3076923076923,92.3076923076923,12.0,14.208925994686325,65100.0,华北,False,Jincheng,127.0,122.0,50.0,50.0,False,False
景德镇,景德镇市,3,340.0,79,51.0,79.0,51.12753395773042,79.42511319243475,65.74795405069987,71.86345672607422,1.014170439747825,1.0425113192434752,uncovered_impact_space,Uncovered impact space,km^2,1.0,64.55696202531645,64.37200011771633,51.0,51.12753395773042,59082.0,华东,False,Jingdezhen,49.0,56.0,158.0,159.0,False,False
杭州,杭州市,7,385.0,173,137.0,173.0,165.98733776747622,212.3136365271852,73.53802163260323,154.96066284179688,1.1903756965672714,2.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,79.1907514450867,78.18025280077701,137.0,165.98733776747622,134551.0,华东,False,Hangzhou,17.0,16.0,102.0,108.0,False,False
枣庄,枣庄市,2,32.0,17,9.0,17.0,9.0,17.0,47.881330490112305,49.867305755615234,1.0,1.0,uncovered_impact_space,Uncovered impact space,km^2,1.0,52.94117647058824,52.94117647058824,9.0,9.0,44902.0,华东,False,Zaozhuang,145.0,146.0,172.0,175.0,False,False
柳州,柳州市,3,163.0,43,36.0,43.0,47.28477240907106,56.97659428465624,82.2008794148763,91.804931640625,1.5081463797980614,1.940747771298685,uncovered_impact_space,Uncovered impact space,km^2,1.0,83.72093023255815,82.98981889446631,36.0,47.28477240907106,76367.0,华南,False,Liuzhou,63.0,58.0,88.0,86.0,False,False
株洲,株洲市,3,163.0,58,45.0,58.0,67.75145188492884,88.11692247304083,70.77059809366862,85.81729888916016,1.4146455562674192,1.6710430467519093,uncovered_impact_space,Uncovered impact space,km^2,1.0,77.58620689655173,76.88812770969984,45.0,67.75145188492884,79635.0,华中,False,Zhuzhou,55.0,39.0,108.0,112.0,False,False
